id,name,type,existing_region,tags,description_snippet
"032ca2c4-2e8c-4a0f-9b3e-0df565405328","Battlefield of Dogali Memorial Monument","both","","[""dogali"",""memorial-monument"",""history""]","Historical monument commemorating Ras Alula victory over Italian forces in 1887."
"1a3def45-0960-4282-bebd-627a7cb980c4","Argobba Ancient Settlements","city_only","Afar","[""aliyu-amba"",""argobba"",""trade-route""]","Historic Muslim trade route settlement connecting the coast to Shewa."
"24028b03-8409-4402-9702-50e66d44c031","Gidabo Thermal Medicinal Springs","city_only","Sidama","[""gidabo"",""springs"",""sidama""]","Regional natural geothermal springs valued for mineral health properties."
"2cdc89c9-ccae-4a4a-a328-41dcfe7efd2e","Bate Historic Military Garrison Ruins","both","","[""bate"",""garrison-ruins"",""haramaya""]","Ruins of 19th-century military outpost near Haramaya."
"3096f7ab-0a87-42fa-ba55-98282bb96595","Metekel Sesame & Oilseed Farms","both","","[""metekel"",""sesame"",""oilseeds""]","Major commercial farming zone for export-quality sesame seeds."
"3337e9f7-776d-43c5-8f15-ea2a1ad159cd","Gona Hominid & Stone Tool Site","both","","[""gona"",""oldest-stone-tools"",""oldowan""]","Site containing the world oldest known Oldowan stone tools (2.6 million years old)."
"353a512f-270c-49f3-8a0b-a72199f59027","Wonji Shoa Sugar Cane Plantation & Factory","both","","[""wonji-shoa"",""sugar-plantation"",""factory-tour""]","Ethiopia historic first commercial sugar cane plantation and factory town."
"3a215d89-fea3-4dbe-955f-0f36787befa8","Tulu Lafto Eco-Forest","both","","[""tulu-lafto"",""eco-forest"",""oromia""]","Protected forest hill ecosystem in central Oromia."
"3be3419a-6f26-4fe8-a36f-234e728ea785","Megenagna Transit & Commercial Hub","both","","[""meganagna"",""transit-hub"",""urban-center""]","Major urban transport interchange surrounded by commercial high-rises."
"3d634d41-af7e-40c2-8ed2-4a56559fc7a2","Dikika Hominid Site","both","","[""dikika"",""selam"",""fossil-child""]","Discovery site of Selam, the 3.3-million-year-old Australopithecus afarensis child."
"3f866e65-8b6c-4b3d-be32-0b419e440ff1","Zoological Natural History Museum","both","","[""zoological-museum"",""aau-science"",""fauna-exhibits""]","University museum exhibiting preserved specimens of Ethiopian wildlife."
"43700e13-9720-4983-9e6b-a1ce20eb9bfc","International Cardiovascular Hospital","both","","[""cardiology"",""specialized"",""hospital""]","Cardiovascular specialized treatment center."
"43ab2358-38d7-4156-b8d1-f0749fec4dbe","Sagan River Valley Cultural Nexus","both","","[""sagan"",""valley"",""southern-ethiopia""]","Geographic intersection of multiple southern cultural groups."
"c179481b-6c20-4865-b8f5-dbcb192b4f58","Battlefield of Gura Historic Zone","both","","[""gura"",""battlefield"",""19th-century""]","Site of major 19th-century battles between Ethiopian forces and Egyptian armies."
